Address 79 7A 7B 7C 7D 7E 7F 80 81 82 90 8D 8E 8F Time
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175352
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175352
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175353
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1351 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175354
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1351 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1357 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1355 20170512175355
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134F 20170512175356
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 134E 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1348 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1334 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 132A 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 131E 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1313 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1304 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12F5 20170512175357
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12ED 20170512175358
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12DF 20170512175358
D0 0842 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12CB 20170512175358
D0 0842 00 00 00 00 00 FF 00 00 FF 0019 001C 0020 12B2 20170512175358
D0 0802 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12AA 20170512175358
D0 0802 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 129B 20170512175358
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1293 20170512175358
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1285 20170512175358
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 127F 20170512175358
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 127D 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 127D 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1283 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1285 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1294 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12AA 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12B9 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12C8 20170512175359
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 12EE 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1313 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 132A 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 133C 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1353 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 136D 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 138E 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13A2 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13B1 20170512175400
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13C1 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13CF 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13D6 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13DE 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13EB 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13F5 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 13FC 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A01 20170512175401
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A01 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A05 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A06 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A09 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A0C 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A0D 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A0D 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175402
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175403
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175404
D0 0002 00 00 00 00 80 FF 00 00 FF 0019 001C 0020 1A10 20170512175404
