Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 Time
B0 0000 00 00 00 00 00 FF FF 00 FF F836 F83A F839 20AC F377 20170922143750
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F839 20AE F377 20170922143751
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AE F377 20170922143752
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AE F377 20170922143753
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AE F376 20170922143753
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F839 20AE F377 20170922143754
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AE F377 20170922143755
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AF F376 20170922143755
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20AF F376 20170922143756
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F839 20AF F377 20170922143756
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83A F839 20B0 F377 20170922143757
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20B0 F379 20170922143757
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 20B0 F378 20170922143758
B0 0002 00 00 00 00 80 FF FF 00 FF F835 F83B F839 20B0 F377 20170922143759
B0 0002 00 00 00 00 80 FF FF 00 FF F836 F83B F839 
