Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 Time
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 224.75 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 50.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 51.00 20170922170502
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.00 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.00 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 50.00 20170922170503
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.25 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20BF 225.00 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 50.00 20170922170504
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 50.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.25 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 51.00 20170922170505
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.00 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 224.75 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20BF 225.00 51.00 20170922170506
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 224.75 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.00 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.00 51.00 20170922170507
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 224.75 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170508
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.00 51.00 20170922170509
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170509
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 224.75 51.00 20170922170509
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.00 51.00 20170922170509
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83B F83F 20C0 225.25 51.00 20170922170509
B0 0002 00 00 00 00 80 FF FF 00 FF F839 F83C F83F 20C0 225.25 51.00 20170922170509
