Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.38 20170923110454
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110455
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110455
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110455
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.03 0.09 20170923110455
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110455
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110456
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110456
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110456
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.03 0.09 20170923110456
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110456
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.03 0.09 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.38 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.03 0.09 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110457
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.75 0.10 3.50 12.00 0.03 0.38 20170923110458
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.38 20170923110458
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110458
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110458
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110459
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.01 0.38 20170923110459
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.25 0.10 3.50 12.00 0.01 0.38 20170923110459
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.38 20170923110459
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 223.00 0.10 3.50 12.00 0.03 0.09 20170923110459
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.01 0.38 20170923110500
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110500
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.50 0.10 3.50 12.00 0.03 0.09 20170923110500
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.25 0.10 3.50 12.00 0.03 0.09 20170923110500
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110500
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.03 0.09 20170923110501
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.03 0.09 20170923110501
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.50 0.10 3.50 12.00 0.01 0.09 20170923110501
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110501
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 223.00 0.10 3.50 12.00 0.01 0.09 20170923110501
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.50 31.00 0 223.00 0.10 3.50 12.00 0.01 0.09 20170923110502
B0 0002 00 00 00 00 80 FF FF 00 FF 28.00 29.00 31.00 0 222.75 0.10 3.50 12.00 0.01 0.09 20170923110502
