Address 79 7A 7B 7C 7D 7E 7F 80 81 82 8D 8E 8F 90 88 89 97 8B 8C 96 86 87 Time
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2896 222.50 0.10 3.50 12.00 0.01 0.09 3.700 0.200 20170929093009
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2896 222.25 0.10 3.50 12.00 0.03 0.38 3.700 0.300 20170929093010
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.50 2880 221.75 0.10 3.50 12.00 0.01 0.38 3.700 0.300 20170929093011
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2880 222.00 0.10 3.50 12.00 0.03 0.38 3.600 0.200 20170929093013
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2880 221.75 0.10 3.50 12.00 0.03 0.38 3.600 0.300 20170929093014
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2896 222.25 0.10 3.50 12.00 0.03 0.38 3.600 0.100 20170929093015
B0 0002 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 2896 222.25 0.10 3.50 12.00 0.03 0.38 1.800 0.000 20170929093020
B0 0843 00 00 00 00 80 FF FF 00 FF 29.00 30.00 31.50 4128 222.00 0.10 3.50 0.00 0.00 0.00 0.000 0.000 20170929093028
B0 0843 00 00 00 00 80 FF FF 00 FF 29.00 29.50 31.50 4000 221.75 0.10 3.25 0.00 0.00 0.00 0.000 0.000 20170929093037
B0 0843 00 00 00 00 80 FF FF 00 FF 28.50 29.50 31.50 4000 222.00 0.10 3.25 0.00 0.00 0.00 0.000 0.000 20170929093045
B0 0843 00 00 00 00 80 FF FF 00 FF 28.50 29.50 31.00 3984 222.25 0.10 3.25 0.00 0.00 0.00 2.700 0.300 20170929093052
B0 0000 00 00 00 00 00 FF FF 00 FF 28.50 29.50 31.00 4000 222.50 0.10 3.50 12.00 0.03 0.09 0.100 0.300 20170929093053
B0 0002 00 00 00 00 80 FF FF 00 FF 28.50 29.50 31.00 3616 222.25 0.09 2.00 12.00 0.01 0.38 2.800 0.100 20170929093054
