02 30 01 40 42 44 46 48 10 11 12 20 21 22 Time
BE 0000 0000 030F 0CE4 0760 0840 0A80 0A00 224.00 0.000 11.000 12.000 0.000 6.000 20171026090519
BE 0000 0000 030F 0CE4 0760 0860 0AE0 0A40 225.00 0.000 11.000 12.000 0.000 6.000 20171026090523
BE 0000 0000 030F 0C4E 0760 0860 0AE0 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090527
BE 0000 0000 030F 0CE4 0780 0860 0B00 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090530
BE 0000 0000 030F 0C4E 0780 0860 0AE0 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090531
BE 0000 0000 030F 0C4E 0780 0860 0B00 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090533
BE 0000 0000 030F 0CE4 0780 0860 0B00 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090536
BE 0000 0000 030F 0C4E 0780 0860 0B00 0A40 224.00 0.000 11.000 12.000 0.000 6.000 20171026090729
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090730
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090731
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090732
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090733
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090735
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090736
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090736
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090736
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 223.00 0.000 11.000 12.000 0.000 6.000 20171026090737
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090737
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090737
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090737
BE 0000 0000 030F 0CE4 07A0 08C0 0B80 0AC0 224.00 0.000 11.000 12.000 0.000 6.000 20171026090738
BE 0000 0000 030F 0C4E 07A0 08C0 0B80 
